https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1482023760,2016-12-18 01:16:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023700,2016-12-18 01:15:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023640,2016-12-18 01:14:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023580,2016-12-18 01:13:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023520,2016-12-18 01:12:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023460,2016-12-18 01:11:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023400,2016-12-18 01:10:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023340,2016-12-18 01:09:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023280,2016-12-18 01:08:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023220,2016-12-18 01:07:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023160,2016-12-18 01:06:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023100,2016-12-18 01:05:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023040,2016-12-18 01:04:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022980,2016-12-18 01:03:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022920,2016-12-18 01:02:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022860,2016-12-18 01:01:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022800,2016-12-18 01:00:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022740,2016-12-18 00:59:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022680,2016-12-18 00:58:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022620,2016-12-18 00:57:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022560,2016-12-18 00:56:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022500,2016-12-18 00:55:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022440,2016-12-18 00:54:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022380,2016-12-18 00:53:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022320,2016-12-18 00:52:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022260,2016-12-18 00:51:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022200,2016-12-18 00:50:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022140,2016-12-18 00:49:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022080,2016-12-18 00:48:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482022020,2016-12-18 00:47:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021960,2016-12-18 00:46:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021900,2016-12-18 00:45:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021840,2016-12-18 00:44:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021780,2016-12-18 00:43:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021720,2016-12-18 00:42:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021660,2016-12-18 00:41:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021600,2016-12-18 00:40:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021540,2016-12-18 00:39:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021480,2016-12-18 00:38:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021420,2016-12-18 00:37:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
